TimeStamp;Давление топливного газа перед дозаторами (поз. Pтг1.1);0 - Bad, 1 - Good
12:12:43.138;2858.82;1
12:12:43.161;2858.82;1
12:12:43.185;2858.82;1
12:12:43.208;2860.303;1
12:12:43.231;2860.303;1
12:12:43.254;2861.045;1
12:12:43.276;2859.686;1
12:12:43.301;2859.686;1
12:12:43.323;2861.416;1
12:12:43.345;2861.416;1
12:12:43.371;2859.809;1
12:12:43.391;2858.573;1
12:12:43.414;2858.573;1
12:12:43.437;2861.045;1
12:12:43.461;2860.18;1
12:12:43.486;2860.18;1
12:12:43.506;2858.82;1
12:12:43.530;2861.416;1
12:12:43.552;2861.416;1
12:12:43.578;2860.674;1
12:12:43.599;2858.697;1
12:12:43.621;2858.697;1
12:12:43.644;2861.539;1
12:12:43.670;2861.045;1
12:12:43.692;2858.202;1
12:12:43.715;2858.202;1
12:12:43.738;2860.551;1
12:12:43.759;2860.551;1
12:12:43.783;2861.787;1
12:12:43.807;2861.787;1
12:12:43.831;2860.056;1
12:12:43.854;2860.921;1
12:12:43.875;2860.921;1
12:12:43.897;2860.921;1
12:12:43.921;2858.82;1
12:12:43.944;2860.551;1
12:12:43.966;2861.539;1
12:12:43.991;2859.315;1
12:12:44.013;2859.438;1
12:12:44.036;2859.438;1
12:12:44.059;2859.438;1
12:12:44.085;2860.551;1
12:12:44.107;2859.438;1
12:12:44.127;2859.067;1
12:12:44.152;2860.056;1
12:12:44.175;2860.056;1
12:12:44.196;2860.056;1
12:12:44.219;2859.809;1
12:12:44.243;2857.461;1
12:12:44.265;2860.674;1
12:12:44.291;2860.551;1
12:12:44.314;2860.551;1
12:12:44.337;2860.551;1
12:12:44.358;2858.202;1
12:12:44.383;2859.191;1
12:12:44.405;2860.427;1
12:12:44.429;2857.584;1
12:12:44.451;2857.584;1
12:12:44.472;2857.584;1
12:12:44.497;2860.551;1
12:12:44.519;2860.921;1
12:12:44.542;2858.697;1
12:12:44.566;2859.562;1
12:12:44.590;2859.562;1
12:12:44.611;2861.045;1
12:12:44.633;2861.045;1
12:12:44.657;2858.944;1
12:12:44.682;2859.686;1
12:12:44.703;2860.303;1
12:12:44.725;2860.303;1
12:12:44.751;2858.944;1
12:12:44.773;2859.067;1
12:12:44.797;2859.067;1
12:12:44.819;2859.438;1
12:12:44.841;2859.191;1
12:12:44.865;2859.191;1
12:12:44.889;2858.697;1
12:12:44.909;2860.921;1
12:12:44.935;2860.18;1
12:12:44.957;2859.067;1
12:12:44.982;2859.067;1
12:12:45.001;2861.045;1
12:12:45.024;2861.045;1
12:12:45.047;2860.427;1
12:12:45.073;2858.326;1
12:12:45.093;2861.169;1
12:12:45.116;2861.045;1
12:12:45.139;2861.045;1
12:12:45.162;2861.045;1
12:12:45.185;2861.045;1
12:12:45.208;2858.326;1
12:12:45.231;2860.427;1
12:12:45.254;2860.674;1
12:12:45.277;2858.573;1
12:12:45.300;2859.438;1
12:12:45.323;2859.438;1
12:12:45.346;2860.921;1
12:12:45.372;2859.438;1
12:12:45.392;2859.686;1
12:12:45.415;2859.686;1
12:12:45.438;2861.292;1
12:12:45.461;2858.82;1
12:12:45.484;2858.82;1
12:12:45.507;2859.191;1
12:12:45.531;2859.191;1
12:12:45.553;2861.416;1
12:12:45.578;2861.416;1
12:12:45.599;2858.944;1
12:12:45.623;2857.955;1
12:12:45.646;2861.045;1
12:12:45.670;2859.933;1
12:12:45.691;2859.933;1
12:12:45.717;2859.933;1
12:12:45.737;2858.697;1
12:12:45.762;2861.416;1
12:12:45.783;2859.933;1
12:12:45.808;2857.832;1
